,Open,High,Low,Close,Volume
2024-07-26 10:00:00,19127.75,19161.75,19090.5,19108.5,37843
2024-07-26 10:30:00,19109.25,19194.25,19098.75,19185.0,34532
2024-07-26 11:00:00,19185.25,19249.25,19177.25,19230.75,33804
2024-07-26 11:30:00,19230.25,19289.5,19229.0,19276.75,29898
2024-07-26 12:00:00,19277.0,19297.75,19256.25,19289.75,24486
2024-07-26 12:30:00,19289.5,19294.0,19148.5,19194.25,48765
2024-07-26 13:00:00,19195.25,19221.75,19164.25,19177.25,22509
2024-07-26 13:30:00,19178.0,19198.75,19117.75,19130.0,27137
2024-07-26 14:00:00,19129.75,19191.25,19105.25,19183.75,32181
2024-07-26 14:30:00,19183.25,19190.75,19104.0,19175.0,58046
2024-07-26 15:00:00,19175.0,19190.25,19166.75,19188.0,14379
2024-07-26 15:30:00,19187.25,19189.25,19172.25,19175.75,1900
2024-07-28 17:00:00,19171.75,19242.25,19167.75,19219.25,4361
2024-07-28 17:30:00,19219.0,19237.5,19211.75,19232.75,2219
2024-07-28 18:00:00,19232.0,19249.5,19225.25,19242.25,1612
2024-07-28 18:30:00,19242.75,19253.75,19235.75,19241.0,1425
2024-07-28 19:00:00,19242.5,19293.75,19238.5,19286.5,4502
2024-07-28 19:30:00,19286.25,19330.0,19278.25,19300.0,5837
2024-07-28 20:00:00,19299.75,19309.5,19280.0,19290.5,5477
2024-07-28 20:30:00,19291.0,19317.75,19282.0,19293.5,5722
2024-07-28 21:00:00,19295.25,19315.5,19285.0,19302.75,2880
2024-07-28 21:30:00,19302.5,19302.5,19286.0,19286.75,1164
2024-07-28 22:00:00,19288.25,19299.25,19286.25,19296.0,647
2024-07-28 22:30:00,19296.75,19312.5,19296.75,19302.75,1115
2024-07-28 23:00:00,19302.75,19310.0,19302.5,19302.75,436
2024-07-28 23:30:00,19303.0,19304.25,19293.5,19300.5,579
2024-07-29 00:00:00,19301.0,19315.75,19297.75,19314.25,1215
2024-07-29 00:30:00,19314.0,19328.25,19304.75,19311.5,1958
2024-07-29 01:00:00,19311.5,19318.25,19301.75,19305.0,1996
2024-07-29 01:30:00,19305.75,19334.75,19290.75,19322.0,2980
2024-07-29 02:00:00,19321.75,19323.25,19258.25,19279.75,5564
2024-07-29 02:30:00,19279.0,19282.25,19219.75,19238.25,6005
2024-07-29 03:00:00,19237.5,19284.5,19227.0,19263.25,5104
2024-07-29 03:30:00,19263.5,19263.5,19228.0,19249.0,3734
2024-07-29 04:00:00,19249.25,19260.0,19234.75,19257.75,2514
2024-07-29 04:30:00,19257.5,19272.5,19248.5,19269.75,1775
2024-07-29 05:00:00,19269.25,19287.75,19260.25,19286.5,2501
2024-07-29 05:30:00,19286.25,19295.25,19279.0,19284.25,2347
2024-07-29 06:00:00,19283.25,19304.25,19278.0,19304.0,3512
2024-07-29 06:30:00,19303.75,19319.5,19294.0,19297.5,3740
2024-07-29 07:00:00,19297.5,19328.0,19288.75,19324.75,5046
2024-07-29 07:30:00,19324.5,19362.0,19308.25,19309.75,9161
2024-07-29 08:00:00,19310.0,19310.5,19276.0,19285.25,11387
2024-07-29 08:30:00,19285.25,19367.0,19222.0,19358.5,82607
2024-07-29 09:00:00,19358.25,19377.25,19241.25,19293.5,54453
2024-07-29 09:30:00,19292.5,19322.0,19218.5,19222.0,44358
2024-07-29 10:00:00,19222.0,19231.5,19146.25,19187.5,41231
2024-07-29 10:30:00,19187.75,19271.25,19113.25,19260.75,42358
2024-07-29 11:00:00,19261.0,19338.5,19260.5,19301.75,38063
2024-07-29 11:30:00,19302.5,19342.5,19290.5,19308.5,25340
2024-07-29 12:00:00,19308.5,19348.75,19258.25,19259.0,24269
2024-07-29 12:30:00,19259.25,19299.5,19245.0,19255.0,22266
2024-07-29 13:00:00,19255.0,19257.5,19212.0,19218.0,22487
2024-07-29 13:30:00,19217.75,19226.0,19186.0,19220.0,22070
2024-07-29 14:00:00,19220.5,19251.0,19201.75,19240.75,20689
2024-07-29 14:30:00,19240.5,19267.5,19198.75,19208.5,30367
2024-07-29 15:00:00,19208.5,19220.25,19188.5,19216.75,9810
